,Hospital_Associated_encoded,Tot_Sls_Amt,Msa_Dma_encoded,Salesperson_encoded,ST_encoded,Chain_Name_encoded,LMS_Available_Matching_Funds
65,3,988589.0,139,10,28,38,0.0
133,0,132586.0,85,31,16,33,5800.0
148,0,412451.0,145,110,48,38,1200.0
149,3,421148.0,153,10,28,39,700.0
167,3,624629.0,139,10,28,38,0.0
351,0,363462.0,52,49,22,37,0.0
360,3,462648.0,139,10,28,38,1200.0
363,0,106832.0,91,49,23,38,0.0
364,11,166597.0,113,122,43,1,1200.0
365,0,184495.0,152,65,29,38,1200.0
368,0,218763.0,109,74,12,37,1200.0
376,3,218818.0,131,6,36,1,1200.0
377,6,208660.0,108,122,43,1,0.0
378,0,135267.0,152,65,29,39,1154.0
386,0,178297.0,135,54,16,39,3600.0
391,0,359737.0,98,18,12,38,169.0
392,0,162895.0,122,65,29,38,1185.0
394,0,341788.0,91,49,48,38,1200.0
399,0,189490.0,122,45,12,38,0.0
401,0,81402.0,91,49,23,38,0.0
409,0,91610.0,135,54,16,37,1200.0
410,0,230625.0,98,22,12,37,1170.0
411,3,240224.0,200,30,13,39,1200.0
412,0,122258.0,87,31,14,27,1200.0
414,0,136915.0,41,49,22,38,0.0
416,1,291676.0,104,101,14,1,3020.0
417,0,277228.0,52,110,22,37,0.0
428,0,168850.0,153,49,23,38,992.0
436,0,131313.0,91,49,23,38,0.0
483,0,198717.0,168,114,26,39,540.0
520,0,174633.0,92,31,16,33,5800.0
526,0,65420.0,152,22,29,38,1086.0
533,0,84056.0,122,45,12,38,0.0
551,0,111508.0,122,45,12,38,0.0
717,0,211096.0,122,45,12,38,0.0
719,0,124358.0,136,18,12,40,1200.0
722,0,217302.0,122,45,29,38,2600.0
729,0,150372.0,91,49,23,38,0.0
735,12,120161.0,133,60,14,38,20164.0
736,0,100175.0,98,45,12,38,1200.0
739,0,102959.0,135,54,16,39,0.0
745,0,467098.0,125,110,48,39,186.0
747,0,195497.0,135,54,16,39,1190.0
750,3,232298.0,139,10,28,38,0.0
752,0,278297.0,105,40,43,38,1200.0
772,0,180280.0,104,101,14,34,153.0
791,0,99936.0,52,110,22,37,0.0
836,0,158169.0,152,22,29,38,1200.0
837,0,133206.0,152,65,29,39,1200.0
838,0,116724.0,135,54,16,37,1200.0
840,0,214215.0,134,110,48,39,3600.0
841,0,143682.0,152,65,29,36,1200.0
845,0,74624.0,135,54,16,39,3600.0
847,0,105678.0,153,49,23,38,975.0
848,0,299030.0,153,49,23,38,1062.0
849,0,74574.0,135,65,29,38,1200.0
863,0,125784.0,152,65,29,37,1200.0
865,12,870193.0,52,49,22,38,2584.0
866,0,208790.0,87,60,24,38,20164.0
872,0,80671.0,135,54,16,38,1200.0
882,12,79184.0,133,60,14,38,20164.0
1037,0,215525.0,145,110,48,39,6634.0
1074,0,138164.0,85,54,16,37,490.0
1084,0,55217.0,152,54,16,39,4800.0
1094,0,120997.0,87,31,14,27,265.0
1107,0,217443.0,52,49,22,38,2584.0
1110,0,285125.0,163,65,29,36,16598.0
1111,0,51161.0,122,22,29,38,0.0
1113,0,119372.0,135,54,16,39,1016.0
1114,0,234684.0,172,90,13,39,1200.0
1115,0,138940.0,85,31,16,38,1200.0
1117,3,253285.0,113,15,43,39,4800.0
1118,1,128451.0,149,14,18,2,6000.0
1119,12,168099.0,133,60,14,38,20164.0
1122,0,281618.0,104,60,14,1,1200.0
1124,0,92383.0,152,22,29,38,1123.0
1125,0,149729.0,163,86,5,37,1190.0
1128,0,154031.0,173,82,26,38,1200.0
1131,3,233966.0,89,66,23,34,0.0
1132,0,39299.0,136,18,12,38,1200.0
1133,0,108089.0,152,65,29,38,2400.0
1134,3,140686.0,91,66,23,34,9600.0
1137,3,599539.0,33,9,34,34,1200.0
1141,0,54622.0,98,18,29,38,646.0
1147,0,26679.0,41,49,22,22,1200.0
1148,0,117939.0,152,65,29,37,0.0
1149,0,54987.0,152,65,29,38,3590.0
1151,3,108483.0,89,66,23,34,9600.0
1152,3,124307.0,89,66,23,34,9600.0
1153,3,164799.0,89,66,23,34,9600.0
1187,0,86215.0,135,54,16,38,1070.0
1201,3,145316.0,144,66,23,34,9600.0
1297,0,195253.0,87,101,14,1,0.0
1430,0,13509.0,91,49,23,38,2400.0
1597,0,43191.0,98,18,12,10,1200.0
1598,0,129300.0,87,101,24,39,400.0
1599,0,129397.0,152,22,29,36,16598.0
1602,0,66189.0,135,54,16,39,0.0
1608,0,286612.0,42,75,17,7,1200.0
1612,0,62485.0,122,45,29,38,7050.0
1624,0,96059.0,169,90,13,39,1200.0
1643,0,22559.0,135,54,16,39,3600.0
1671,3,244834.0,89,66,23,34,0.0
1685,1,227104.0,104,101,14,1,3020.0
1686,0,84842.0,122,22,29,38,0.0
1688,1,142336.0,104,101,14,1,3020.0
1693,1,166373.0,128,95,43,38,1200.0
1705,1,424829.0,41,108,22,38,650.0
1709,3,88631.0,89,66,23,34,9600.0
1716,0,97256.0,152,65,29,36,16598.0
1754,3,367624.0,15,113,34,36,1200.0
1794,0,71329.0,152,65,29,38,3590.0
1797,3,204012.0,27,9,34,37,1200.0
1806,3,299250.0,54,9,34,37,1200.0
2115,0,242776.0,87,101,24,39,200.0
2125,3,92746.0,89,66,23,34,9600.0
2153,0,89384.0,152,54,16,39,4800.0
2381,12,227043.0,52,49,22,38,2584.0
2397,1,151448.0,149,14,18,2,6000.0
2399,0,136102.0,109,74,12,36,3600.0
2400,0,78851.0,152,65,29,36,1200.0
2403,12,172689.0,95,31,24,33,1200.0
2407,0,63253.0,152,65,29,38,2400.0
2418,0,71334.0,122,122,12,56,0.0
2450,3,236780.0,140,23,1,1,150.0
2495,0,33992.0,91,49,48,38,0.0
2590,0,139754.0,153,10,28,38,0.0
2802,0,154058.0,135,54,16,38,0.0
2804,12,183778.0,84,31,24,33,1200.0
2810,0,461518.0,152,65,29,36,16598.0
2811,12,165157.0,95,31,24,33,1200.0
2812,3,323484.0,42,106,17,7,0.0
2813,3,102324.0,91,66,23,34,0.0
2818,12,116637.0,84,31,24,33,1200.0
2819,3,328179.0,139,10,28,38,0.0
2829,12,259835.0,145,62,48,39,0.0
2841,0,306035.0,145,110,48,39,0.0
2843,0,88392.0,152,54,16,37,1200.0
2845,0,92583.0,135,54,16,39,1200.0
2849,2,138021.0,135,54,16,37,0.0
2856,12,102375.0,131,54,16,37,1200.0
2857,0,91298.0,109,74,12,36,3600.0
2870,0,118300.0,135,54,16,39,4800.0
2874,0,41563.0,152,65,29,38,3590.0
2886,10,80457.0,95,31,24,1,1200.0
2887,0,65731.0,135,22,16,38,1200.0
2888,0,95617.0,91,49,48,38,1200.0
2897,12,152125.0,135,54,16,38,1200.0
2904,0,54520.0,152,22,29,36,1000.0
3429,1,209604.0,149,14,18,2,6000.0
3681,0,384770.0,140,35,1,1,1200.0
3685,0,4719.0,91,49,23,38,2400.0
3887,3,88598.0,185,39,4,36,2400.0
3895,1,334801.0,185,39,4,36,0.0
3897,3,149442.0,193,102,4,36,1200.0
3906,3,81681.0,185,39,4,36,2400.0
3918,0,135040.0,190,42,4,50,0.0
3991,0,136973.0,190,42,4,50,0.0
4119,3,151025.0,163,55,5,37,502.0
4166,0,131920.0,52,49,22,38,1200.0
4176,1,233750.0,185,120,4,36,1200.0
4183,0,57685.0,136,18,12,40,1200.0
4211,0,86967.0,98,18,12,40,1200.0
4212,0,104459.0,136,18,12,40,1200.0
4300,0,252162.0,122,22,29,36,16598.0
4429,0,215651.0,144,49,48,38,4896.0
4435,0,98687.0,109,74,12,38,1200.0
4437,3,385494.0,12,76,7,8,0.0
4439,0,160431.0,113,15,43,39,4800.0
4440,0,92381.0,113,15,43,39,0.0
4445,0,162551.0,135,54,16,38,1200.0
4446,3,1282624.0,163,86,5,33,1200.0
4472,10,400602.0,171,86,29,59,1200.0
4473,12,127775.0,172,90,13,39,8400.0
4483,12,120665.0,172,90,13,39,8400.0
4495,12,56308.0,172,90,13,39,8400.0
4831,12,228245.0,172,90,13,39,8400.0
4036,15,62959.0,40,105,9,37,0.0
1475,15,238240.0,102,38,1,2,0.0
509,15,53482.0,47,12,40,1,3600.0
4694,15,66942.0,185,118,4,36,0.0
2328,15,138133.0,118,60,14,1,0.0
3019,15,375885.0,177,79,44,39,1200.0
512,15,239641.0,47,12,40,1,0.0
744,0,383203.0,91,49,48,38,1190.0
4357,15,240060.0,34,111,6,37,900.0
2074,15,144360.0,135,54,16,39,704.0
2040,3,99396.0,17,70,38,34,10800.0
4051,15,116630.0,40,105,9,12,0.0
452,15,45399.0,2,11,34,25,1190.0
4,15,129169.0,183,1,37,38,340.0
3124,15,238785.0,197,85,4,37,1200.0
1648,3,208832.0,62,106,17,7,0.0
1793,1,83459.0,24,9,46,37,1200.0
1402,15,116074.0,142,37,2,2,1200.0
3275,15,377084.0,82,88,15,39,1025.0
1677,0,113997.0,30,109,17,7,473.0
2281,1,107010.0,86,13,1,1,0.0
3777,15,181722.0,102,99,1,1,0.0
4364,1,380167.0,187,85,4,39,1200.0
1156,0,332234.0,36,72,35,1,1200.0
1749,15,270657.0,25,44,10,1,1200.0
72,0,120763.0,153,10,28,38,0.0
4547,15,68815.0,35,116,9,12,0.0
3542,0,204484.0,148,98,1,1,1200.0
1082,15,325317.0,2,29,31,19,538.0
3452,15,78849.0,2,92,34,26,0.0
3173,15,216061.0,163,86,5,39,1200.0
3729,15,289032.0,138,98,1,1,1025.0
3728,15,418291.0,147,98,25,1,1200.0
370,15,238792.0,153,10,28,38,967.0
1188,15,63374.0,29,32,9,38,0.0
812,15,117613.0,126,21,42,2,1200.0
625,15,6635.0,96,14,18,1,0.0
3427,15,36445.0,132,91,25,2,1200.0
241,15,6284.0,94,7,43,1,0.0
85,15,107420.0,185,4,4,36,1200.0
3396,15,101238.0,177,90,44,38,4856.0
3526,15,121146.0,25,93,10,2,8000.0
3970,15,166634.0,12,103,20,12,400.0
3625,15,220991.0,128,95,43,15,2400.0
40,15,57225.0,48,2,35,36,726.0
1023,15,33850.0,185,27,4,17,122.0
515,15,98148.0,65,12,40,2,1200.0
1160,15,212736.0,92,31,24,40,8400.0
979,15,109093.0,18,25,40,1,400.0
4533,15,2528.0,35,116,9,1,0.0
1753,15,123542.0,26,44,10,2,1200.0
3235,15,253728.0,120,87,36,34,1200.0
1020,15,133424.0,185,27,4,36,1200.0
3885,15,33050.0,137,101,14,39,3600.0
886,15,82859.0,140,23,1,1,1200.0
3314,15,73740.0,123,89,9,1,1200.0
1002,15,44564.0,5,26,38,34,1400.0
1519,15,104838.0,185,39,4,36,1200.0
3872,15,134440.0,87,101,14,34,759.0
3657,15,404973.0,30,96,15,22,1133.0
542,3,152456.0,95,31,24,1,1046.0
1538,15,61115.0,185,39,4,36,0.0
3377,15,159857.0,177,90,44,38,4856.0
4685,15,63192.0,185,118,4,36,0.0
4586,15,46414.0,177,122,44,56,1200.0
4755,15,54160.0,6,119,22,22,1200.0
228,15,982.0,94,7,43,37,1200.0
1471,15,31860.0,102,38,1,2,0.0
704,15,160115.0,2,16,34,20,1200.0
3250,15,840519.0,88,88,14,38,1200.0
594,15,193499.0,86,13,1,2,2327.0
4423,2,296294.0,197,85,4,38,1200.0
3285,15,41785.0,82,88,14,39,1200.0
2244,15,282123.0,29,58,9,2,1200.0
3631,15,70422.0,97,95,43,37,1190.0
1553,15,698631.0,185,39,4,36,1200.0
1850,15,108965.0,2,48,34,21,1200.0
3781,1,300947.0,191,17,47,39,60.0
1252,15,151220.0,29,32,9,1,0.0
2434,15,287082.0,132,64,25,1,1200.0
1235,15,18731.0,29,32,9,1,0.0
4175,15,252705.0,25,107,10,1,1200.0
4416,15,124067.0,62,112,49,7,0.0
1567,15,47086.0,185,39,4,36,0.0
611,15,217640.0,96,14,18,2,1200.0
4492,15,112498.0,188,115,47,38,1200.0
659,15,225114.0,127,15,43,37,1200.0
1008,15,83319.0,185,27,4,36,0.0
3578,15,91087.0,26,94,10,2,728.0
4035,15,188235.0,40,105,9,1,610.0
2961,1,209024.0,124,56,36,34,1144.0
2669,15,249490.0,97,71,43,51,1200.0
3361,15,357292.0,60,89,9,1,2400.0
932,15,129891.0,71,23,10,1,170.0
604,3,61364.0,95,41,24,23,1200.0
375,15,106398.0,153,10,28,36,910.0
242,15,15691.0,94,7,43,37,400.0
3281,15,24004.0,82,88,14,36,1200.0
2056,15,277487.0,11,53,35,36,1200.0
1364,15,413675.0,102,35,1,2,0.0
1088,15,82125.0,2,29,31,36,1200.0
4146,15,43674.0,25,107,10,36,12000.0
2660,3,555711.0,138,44,1,2,1200.0
1639,1,182642.0,42,106,17,38,1200.0
1637,15,142973.0,87,41,24,2,10194.0
4006,15,206681.0,142,104,2,2,1200.0
306,15,350.0,6,8,22,36,1200.0
2767,15,270041.0,62,72,35,7,0.0
4766,15,74425.0,185,120,4,39,800.0
500,15,210372.0,65,12,40,2,3590.0
208,1,158245.0,174,10,41,34,1200.0
2355,15,88797.0,6,61,22,36,1200.0
4395,15,98290.0,2,111,34,21,1200.0
2570,15,507030.0,149,68,18,37,1200.0
4420,15,236139.0,62,112,17,1,1049.0
3842,15,785613.0,87,101,24,33,1200.0
2237,15,31961.0,29,58,9,1,1200.0
2772,15,152382.0,28,72,15,1,0.0
3029,15,8499.0,107,81,43,1,1200.0
2481,15,100534.0,152,65,29,36,16598.0
1863,15,370420.0,91,49,23,38,0.0
229,15,6055.0,94,7,43,37,0.0
3861,15,122215.0,87,101,14,1,0.0
341,15,653759.0,33,9,34,37,132.0
404,15,434956.0,154,10,41,38,7.0
2556,0,156384.0,128,40,43,38,0.0
3763,15,70052.0,102,99,1,1,0.0
2973,15,107368.0,104,78,17,7,1200.0
297,15,11456.0,6,8,22,36,0.0
3749,0,94317.0,183,1,37,37,1200.0
2354,15,69707.0,6,61,22,23,5928.0
3882,0,177453.0,158,30,0,38,0.0
2123,1,402871.0,12,122,49,22,0.0
2096,1,624225.0,34,111,6,33,26.0
485,15,130061.0,34,11,6,9,0.0
2799,15,105929.0,43,72,35,2,8600.0
3948,15,252075.0,72,103,20,23,895.0
3093,15,135471.0,2,84,31,20,0.0
1549,15,223112.0,185,39,4,36,0.0
668,15,7831.0,113,15,43,15,853.0
4743,15,30407.0,6,119,22,36,1200.0
3167,15,101856.0,163,86,5,37,1200.0
2963,2,294674.0,131,56,36,39,1200.0
3813,15,188167.0,12,100,20,22,0.0
2616,15,88148.0,198,69,4,37,1200.0
1941,15,513721.0,65,51,40,11,1190.0
3318,15,203436.0,138,89,9,1,1180.0
4608,15,4846.0,6,122,22,22,1200.0
871,15,133840.0,140,23,1,1,1128.0
424,15,208057.0,22,11,39,34,1200.0
221,15,368668.0,94,7,43,1,0.0
3960,15,271295.0,72,103,20,22,1130.0
423,15,310341.0,22,11,39,37,400.0
3412,3,310124.0,8,94,10,2,1200.0
381,3,229972.0,98,18,12,38,0.0
3968,15,0.0,72,103,8,22,0.0
3595,15,269365.0,4,94,10,1,1200.0
2380,15,129420.0,125,62,48,36,7529.0
933,1,566970.0,36,53,35,36,3600.0
2494,15,161432.0,152,65,29,38,705.0
225,15,57759.0,94,7,43,37,1200.0
3500,15,73102.0,2,92,34,19,0.0
4342,15,101583.0,2,111,34,34,1346.0
627,15,36806.0,96,14,18,1,0.0
4760,15,306601.0,6,119,22,36,1200.0
2032,15,139731.0,9,53,38,35,6000.0
3127,15,283502.0,197,85,4,39,1200.0
166,15,146608.0,131,6,36,34,6000.0
1191,15,133638.0,29,32,9,22,1200.0
792,15,3050824.0,76,20,15,27,0.0
2546,15,48719.0,192,67,37,37,0.0
4768,15,242240.0,185,120,4,36,0.0
4080,15,85469.0,40,105,9,1,0.0
3893,15,93491.0,185,102,4,37,1200.0
1494,15,498722.0,102,38,1,2,178.0
2,15,151490.0,183,1,37,39,0.0
4640,15,148885.0,159,24,11,39,2800.0
4750,15,109963.0,6,119,22,39,1600.0
2869,15,235789.0,137,74,12,51,1200.0
470,15,102393.0,2,11,34,20,400.0
4343,15,45357.0,2,111,34,20,0.0
1817,15,279645.0,187,47,4,39,1200.0
4614,1,26817.0,196,0,4,37,1200.0
3111,15,106635.0,2,84,31,20,1000.0
4539,15,151399.0,40,116,9,38,3250.0
3001,15,52690.0,177,79,44,38,0.0
2038,15,405272.0,9,53,38,39,1200.0
896,15,138936.0,102,23,1,1,1200.0
1814,15,281850.0,187,47,4,39,1200.0
136,15,399087.0,7,5,19,38,2400.0
323,15,99680.0,6,8,22,36,0.0
4572,15,325.0,14,122,22,12,1200.0
2808,15,139160.0,32,73,42,6,1200.0
4517,15,701495.0,35,116,9,2,1200.0
595,15,264926.0,86,13,1,2,2327.0
3607,15,117851.0,60,94,10,1,1200.0
3691,15,276147.0,43,96,15,27,1060.0
118,15,4347.0,185,4,4,36,1200.0
1721,15,76399.0,25,44,10,2,1200.0
3174,15,96443.0,163,86,5,37,0.0
2540,15,291479.0,192,67,37,39,1120.0
2178,15,263914.0,120,56,36,38,1200.0
3099,1,101064.0,111,64,42,1,1200.0
1504,15,284663.0,102,38,1,1,0.0
3927,15,66716.0,55,103,45,22,1200.0
3741,15,87624.0,161,98,25,1,1200.0
4814,15,150263.0,185,120,4,36,1200.0
2490,1,242973.0,49,32,9,1,0.0
714,15,435643.0,2,16,34,20,0.0
4255,15,272486.0,42,109,17,7,404.0
107,15,89374.0,185,4,4,38,0.0
504,15,132143.0,67,12,40,2,1200.0
953,15,221540.0,18,25,40,11,1200.0
4652,15,29240.0,2,122,31,21,1200.0
1392,15,139955.0,13,36,20,27,400.0
1356,15,174730.0,126,35,42,1,1200.0
3299,15,28202.0,82,88,14,37,400.0
2009,0,197848.0,7,63,19,37,2208.0
2771,15,459723.0,43,72,35,7,1200.0
2679,15,153784.0,97,71,43,1,1200.0
4227,15,68628.0,14,108,22,22,1080.0
1016,15,277350.0,182,27,4,39,1200.0
842,15,175356.0,122,22,29,37,400.0
3602,15,80273.0,26,94,10,1,1400.0
2271,15,101044.0,181,59,32,39,1200.0
2025,15,228712.0,36,53,35,36,1200.0
18,15,75924.0,6,2,22,36,1200.0
2184,15,332301.0,120,56,36,39,1176.0
3864,15,206874.0,104,101,14,1,0.0
3717,15,14019.0,185,97,4,36,0.0
699,15,155431.0,2,16,34,20,1013.0
3263,15,78279.0,82,88,14,39,2400.0
4567,15,444573.0,94,122,43,1,1200.0
2292,1,247055.0,86,13,1,2,989.0
3216,15,105464.0,100,87,36,34,1200.0
3315,15,296155.0,60,89,9,1,1190.0
4651,15,4397.0,2,122,31,21,1200.0
3470,15,57057.0,2,92,34,21,1200.0
873,15,269439.0,140,23,1,1,1200.0
591,15,167655.0,102,13,1,2,1200.0
61,15,98530.0,6,2,22,36,1200.0
4090,15,36763.0,40,105,9,1,180.0
3898,15,212581.0,193,102,4,36,0.0
2867,15,73175.0,137,74,12,15,1200.0
3668,1,55226.0,35,116,9,12,0.0
2543,15,242912.0,192,67,37,29,1200.0
2530,3,147426.0,142,37,2,2,1200.0
1347,15,331671.0,140,35,1,1,0.0
1704,15,149757.0,23,44,1,1,1200.0
1927,1,82133.0,7,63,19,36,0.0
2925,15,378060.0,140,77,1,2,1200.0
4075,15,-1541.0,40,105,9,37,600.0
2334,15,252061.0,150,60,14,38,20164.0
1874,15,346873.0,41,49,22,39,2399.0
153,15,364596.0,131,6,36,38,1200.0
4239,15,5167.0,30,109,15,22,0.0
3902,15,1127498.0,185,102,4,36,0.0
420,15,444876.0,153,10,28,38,1200.0
4641,15,20203.0,195,117,33,37,251.0
1979,15,142653.0,2,52,34,21,0.0
607,1,72218.0,95,41,24,1,200.0
3098,15,103622.0,2,84,31,20,1200.0
998,15,295874.0,5,26,38,34,800.0
624,15,26471.0,96,14,18,1,1400.0
4581,0,314188.0,200,115,13,39,1190.0
3499,15,67165.0,2,92,34,21,1174.0
4817,15,361367.0,185,120,4,36,1200.0
3793,15,101526.0,102,99,1,1,0.0
358,1,26131.0,174,10,41,39,8912.0
4034,15,421150.0,40,105,9,1,660.0
283,15,202322.0,6,8,22,22,0.0
770,15,101236.0,2,19,34,20,0.0
2234,15,50543.0,29,58,9,38,0.0
2323,15,232408.0,74,60,15,1,460.0
2206,15,596320.0,108,57,43,2,927.0
3418,1,43115.0,8,94,10,2,7200.0
3198,1,39643.0,120,87,36,34,0.0
2263,15,261115.0,29,58,9,1,1200.0
2208,2,91317.0,20,12,40,2,1200.0
3714,15,73673.0,185,97,4,36,0.0
1868,1,1767131.0,13,36,20,27,1200.0
541,15,406490.0,47,12,40,2,0.0
1078,15,40744.0,2,29,31,19,1200.0
3928,5,179531.0,199,42,4,37,2400.0
2724,15,14458.0,97,71,43,1,1200.0
3538,15,91516.0,25,93,10,37,0.0
294,15,101347.0,6,8,22,36,0.0
161,15,402884.0,120,6,36,39,1200.0
3531,15,282084.0,25,93,10,36,0.0
2229,15,117924.0,108,57,43,37,1200.0
3862,5,335942.0,200,30,47,38,3353.0
4320,1,124901.0,187,85,4,39,1183.0
1564,15,38177.0,185,39,4,52,1000.0
1556,15,13874.0,185,39,4,36,1200.0
2324,1,238516.0,149,14,25,37,1200.0
1507,15,276318.0,148,38,1,2,1200.0
1346,15,170360.0,102,35,1,1,1200.0
100,15,170538.0,185,4,4,36,0.0
694,15,254728.0,2,16,34,20,773.0
1439,15,165063.0,111,37,42,1,1200.0
2935,15,1393794.0,140,77,1,1,1200.0
2445,15,33776.0,132,64,25,1,1200.0
2216,15,297383.0,108,57,43,1,0.0
4634,15,194719.0,195,117,33,36,1200.0
1224,15,35677.0,49,32,9,1,0.0
966,15,145325.0,18,25,27,11,1200.0
4404,15,194059.0,62,112,49,22,1200.0
3522,15,209567.0,25,93,10,1,1200.0
4480,1,54153.0,185,102,4,53,0.0
1908,15,1729760.0,165,50,3,40,0.0
989,15,634359.0,5,26,38,34,0.0
3020,15,50549.0,195,79,33,38,1200.0
2834,15,0.0,32,73,42,1,0.0
2940,15,384119.0,140,77,1,2,1200.0
187,15,69479.0,131,6,36,40,800.0
1202,15,159307.0,29,32,9,1,0.0
4417,15,113217.0,58,112,49,6,1200.0
3328,15,122005.0,60,89,9,1,0.0
797,15,161311.0,6,20,22,36,2400.0
3693,15,15389.0,185,97,4,37,1200.0
251,15,145913.0,6,8,22,22,1200.0
4666,15,67530.0,185,118,4,36,1200.0
4363,15,76434.0,2,111,31,20,2200.0
2512,15,195820.0,91,66,48,40,1200.0
1577,15,263666.0,128,40,43,1,1200.0
3337,15,501473.0,123,89,9,2,903.0
765,15,198594.0,2,19,31,20,7.0
3863,15,57196.0,87,101,24,39,1200.0
3138,0,191049.0,71,73,42,2,1200.0
425,15,207918.0,22,11,39,33,1200.0
4259,15,232005.0,42,109,17,6,0.0
3630,15,125298.0,97,95,43,37,1200.0
2534,15,95714.0,89,66,23,34,0.0
1311,15,218518.0,93,34,48,36,7529.0
4243,1,370411.0,198,69,4,39,200.0
960,15,159148.0,65,25,27,11,1200.0
1427,15,32269.0,142,37,2,2,1200.0
1169,12,176663.0,36,72,35,1,2553.0
3389,1,115223.0,25,93,10,1,1200.0
2701,15,65732.0,97,71,43,1,0.0
4582,0,191285.0,188,115,47,39,824.0
3147,15,149788.0,197,85,4,39,0.0
2837,15,462619.0,56,73,42,2,1200.0
2394,15,118248.0,125,62,48,37,0.0
1877,0,282943.0,12,46,49,22,182.0
1878,15,138927.0,144,49,48,38,4896.0
1812,1,212372.0,44,9,19,37,1200.0
1591,3,126949.0,16,96,35,7,0.0
2295,3,280510.0,86,13,1,1,1200.0
1945,0,172341.0,7,63,19,37,1200.0
4350,15,238524.0,2,111,34,20,1200.0
3554,15,111662.0,25,93,10,1,1200.0
3006,15,613749.0,177,79,44,39,1200.0
4360,15,90008.0,2,111,34,20,1200.0
3244,15,87121.0,120,87,36,34,1000.0
4711,15,63027.0,6,119,22,36,114.0
362,1,387165.0,98,18,12,38,0.0
758,15,162205.0,2,19,34,25,1200.0
4631,15,76589.0,40,122,9,37,1200.0
1358,15,110520.0,102,35,1,1,1200.0
2419,15,344774.0,7,63,19,34,0.0
593,15,65977.0,86,13,1,1,1200.0
613,15,336592.0,149,14,18,2,6000.0
1295,0,114922.0,109,74,12,36,3600.0
4308,15,89290.0,145,110,48,38,0.0
3923,15,103436.0,72,103,20,22,1156.0
2433,15,1120412.0,112,64,42,1,830.0
14,15,87080.0,6,2,22,37,0.0
3236,15,62740.0,106,87,36,34,1200.0
2262,15,57806.0,29,58,9,37,0.0
4164,15,29846.0,25,107,10,1,1200.0
2966,15,63313.0,104,78,17,7,1200.0
1728,15,274560.0,138,44,1,2,1200.0
4835,15,167664.0,12,121,49,22,0.0
3871,5,182135.0,200,30,47,38,3353.0
2247,15,79140.0,29,58,9,12,0.0
2722,15,29509.0,97,71,43,39,757.0
3901,15,179926.0,193,102,4,36,1200.0
786,15,66779.0,2,19,31,20,1200.0
4629,15,29718.0,195,117,33,38,1200.0
1977,15,31690.0,5,52,38,37,0.0
1498,15,260954.0,102,38,1,1,150.0
3720,15,73490.0,185,97,4,38,2200.0
3496,15,169012.0,2,92,34,26,1200.0
1077,15,41673.0,2,29,31,24,1190.0
2119,15,42733.0,163,55,5,37,1200.0
2199,15,178926.0,108,57,43,1,1200.0
2898,15,46888.0,42,75,17,6,1200.0
3805,15,121030.0,12,100,20,27,0.0
1189,15,318632.0,49,32,9,1,0.0
4381,15,122239.0,2,111,34,20,0.0
1516,15,464993.0,185,39,4,37,1200.0
2455,1,442817.0,102,23,1,2,150.0
103,15,90667.0,186,4,4,36,0.0
482,15,110728.0,34,11,6,37,1200.0
3789,15,123381.0,102,99,1,1,1200.0
3667,15,126315.0,28,96,15,1,1150.0
3102,15,40749.0,2,84,31,20,1200.0
570,15,148022.0,143,13,1,2,1100.0
2189,1,146356.0,47,12,40,1,646.0
4618,15,49131.0,159,24,11,38,0.0
355,3,91127.0,154,10,41,39,0.0
4681,15,98575.0,185,118,4,36,0.0
2809,15,66311.0,56,73,42,2,1200.0
2906,15,327650.0,42,75,17,7,994.0
177,0,88039.0,153,10,28,38,0.0
1382,15,696270.0,13,36,20,23,1200.0
2734,15,579268.0,97,71,43,36,0.0
2238,15,215370.0,29,58,9,1,0.0
